user_id,item_id,rating,cine,casa,escena,estilo,actuacion,espectador,film
Reinderdot,Truman Capote,4,NULL,NULL,NULL,NULL,1,NULL,1
Robgordon,Melissa P,2,0,0,0,NULL,NULL,NULL,NULL
Iñigo,Flores rotas,4,1,NULL,-1,NULL,NULL,0,1
Iñigo,Crash,4,1,NULL,NULL,NULL,NULL,1,0
David,Truman Capote,4,0,NULL,0,NULL,0,NULL,-1
Tito Chinchan,Sky high,3,NULL,NULL,1,NULL,NULL,NULL,0
Caro,Transamerica,5,NULL,0,NULL,NULL,-1,NULL,NULL
Iñigo,Cache Escondido,5,0,-1,NULL,NULL,NULL,-1,0
Jose Contreras,Truman Capote,3,0,NULL,NULL,NULL,NULL,NULL,NULL
Sonia Esteban,Fragiles,2,NULL,NULL,1,NULL,NULL,NULL,NULL
Tito Chinchan,La pantera rosa,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Flopir,Munich,4,NULL,-1,-1,-1,NULL,NULL,-1
Jose Contreras,Sky high,3,NULL,NULL,NULL,NULL,NULL,0,NULL
Iñigo,Transamerica,2,-1,-1,NULL,NULL,NULL,-1,-1
Marta,El castillo ambulante,4,1,NULL,1,NULL,NULL,NULL,NULL
Tito Chinchan,El castillo ambulante,4,NULL,NULL,NULL,-1,NULL,NULL,NULL
Lara Croft,Syriana,4,NULL,NULL,0,NULL,NULL,NULL,-1
Iñigo,Truman Capote,3,NULL,NULL,NULL,NULL,0,NULL,-1
Taliesin,Crash,4,0,NULL,NULL,NULL,NULL,NULL,NULL
Jose Luis,Brokeback mountain,4,NULL,NULL,0,NULL,0,NULL,NULL
Tito Chinchan,Casanova,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Iñigo,Paradise now,4,1,NULL,NULL,NULL,-1,0,-1
Tito Chinchan,Mrs Henderson presenta,4,NULL,NULL,NULL,NULL,NULL,0,NULL
Juan David,Zathura,3,NULL,0,NULL,NULL,NULL,NULL,NULL
Jose Luis,Truman Capote,5,0,NULL,0,NULL,0,NULL,NULL
Iñigo,No matarás,5,0,NULL,1,NULL,-1,-1,0
Tito Chinchan,Lie with me,2,0,NULL,NULL,NULL,NULL,NULL,NULL
Caty,Dick y Jane
Javier,Cargo,1,0,NULL,-1,NULL,NULL,-1,NULL
Jose Contreras,Zathura,3,NULL,-1,NULL,NULL,NULL,1,NULL
El mágico,Firewall,2,-1,NULL,NULL,NULL,1,-1,-1
Tito Chinchan,Zathura,2,NULL,-1,NULL,NULL,NULL,NULL,NULL
Daniel Galindo,Gisaku,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Daniel Galindo,Volver,4,1,1,NULL,NULL,NULL,NULL,NULL
Marta,Paradise now,3,NULL,NULL,-1,NULL,NULL,NULL,NULL
Tito Chinchan,Destino final 3,1,-1,0,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,Bloodrayne,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Angeles Val,Zathura,4,0,0,1,NULL,1,NULL,0
Tito Chinchan,Truman Capote,2,NULL,NULL,NULL,NULL,1,-1,NULL
Yojimbo,Volver,4,1,NULL,NULL,NULL,NULL,NULL,0
Jose Luis,Una vida iluminada,3,-1,-1,NULL,NULL,NULL,NULL,NULL
Flopir,Hostel,3,NULL,NULL,-1,NULL,NULL,-1,-1
Ivan Sainz-Pardo,Volver,5,0,NULL,-1,1,1,NULL,NULL
Tito Chinchan,Conejo en la luna,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JPastor,Firewall,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Iñigo,Destino final 3,1,-1,NULL,-1,NULL,NULL,NULL,0
Jango Fett,Salvaje (The Wild),2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jango Fett,Ice age 2 el deshielo,2,NULL,NULL,0,0,NULL,NULL,0
Iñigo,Manderlay,4,-1,NULL,0,-1,0,1,1
Jose Luis,Rosario Tijeras,5,1,NULL,0,NULL,0,-1,NULL
Alvaro Oliva,Hostel,2,0,NULL,NULL,NULL,NULL,NULL,NULL
Alvaro Oliva,El caso Slevin,3,1,NULL,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,Ice age 2 el deshielo,4,NULL,NULL,-1,NULL,NULL,NULL,NULL
Chuchi,V de Vendetta,4,0,NULL,NULL,NULL,1,NULL,1
Nico,V de Vendetta,1,-1,0,NULL,NULL,NULL,NULL,NULL
Marta,V de Vendetta,4,-1,NULL,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,V de Vendetta,4,NULL,NULL,0,NULL,0,NULL,NULL
Pablo,Hostel,2,NULL,NULL,-1,NULL,NULL,1,NULL
Iñigo,Hostel,2,0,NULL,-1,NULL,NULL,0,0
Red Stovall,Plan oculto,3,1,NULL,0,NULL,NULL,0,1
Tito Chinchan,Hostel,2,NULL,NULL,-1,-1,NULL,NULL,NULL
Raccord,Azuloscurocasinegro,3,-1,NULL,NULL,NULL,NULL,NULL,NULL
Daniel Galindo,Tirante el blanco,2,-1,NULL,NULL,NULL,NULL,NULL,NULL
Jorge,Cache Escondido,3,NULL,0,0,NULL,NULL,NULL,NULL
David,Tirante el blanco,2,0,NULL,-1,NULL,NULL,NULL,NULL
Alvaro Oliva,Azuloscurocasinegro,5,0,0,NULL,NULL,NULL,-1,NULL
Alvaro Oliva,El hombre del tiempo,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Victoruco,V de Vendetta,3,-1,NULL,NULL,NULL,NULL,NULL,NULL
Alvaro Oliva,Destino final 3,1,0,NULL,NULL,NULL,NULL,NULL,NULL
Ivan Sainz-Pardo,Azuloscurocasinegro,4,0,NULL,1,0,1,1,1
Pablo,Plan oculto,3,NULL,NULL,NULL,1,NULL,1,-1
Jose Contreras,16 calles,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Freddy vs Jason,The Libertine,2,NULL,NULL,NULL,NULL,NULL,-1,NULL
Ivan Sainz-Pardo,V de Vendetta,1,-1,-1,-1,1,NULL,NULL,NULL
Andrés,Stoned,2,NULL,-1,NULL,NULL,NULL,NULL,NULL
Alejandro Salmerón,Mi noche con Maud,4,0,NULL,NULL,0,NULL,0,0
Ivan Sainz-Pardo,Crash,4,NULL,NULL,NULL,NULL,0,NULL,1
Verolindapechocha,Hostel,3,-1,NULL,NULL,NULL,NULL,NULL,0
Verolindapechocha,Date movie,1,1,NULL,0,NULL,NULL,1,0
Silvia,Volver,4,-1,NULL,NULL,NULL,NULL,NULL,NULL
Rafa Ferrer,Novia por contrato,3,1,0,0,NULL,NULL,0,0
Tito Chinchan,Scary movie 4,3,NULL,NULL,1,NULL,NULL,NULL,NULL
Jamfris,Ice age 2 el deshielo,3,0,NULL,NULL,NULL,NULL,NULL,NULL
Silvia,En tierra de hombres,3,NULL,NULL,NULL,NULL,NULL,-1,NULL
Jeremy Fox,El caso Slevin,3,-1,NULL,NULL,1,NULL,1,NULL
Silvia,La verdad oculta,2,NULL,NULL,NULL,NULL,NULL,1,NULL
Cp,El caso Slevin,3,NULL,NULL,NULL,NULL,1,NULL,NULL
Rafa Marin,Plan oculto,4,1,NULL,-1,NULL,NULL,-1,NULL
Silvia,Tapas,4,1,NULL,0,1,NULL,-1,NULL
Jose Contreras,Déjate llevar,2,-1,NULL,NULL,NULL,NULL,NULL,NULL
Jose Contreras,Misión imposible 3,4,0,NULL,0,NULL,NULL,0,NULL
Cp,Misión imposible 3,4,1,NULL,1,1,NULL,NULL,NULL
Verolindapechocha,Misión imposible 3,2,NULL,NULL,NULL,NULL,NULL,1,0
Hombre Lobo,Psicosis,5,0,NULL,-1,NULL,0,NULL,0
Robgordon,Psicosis,5,1,-1,-1,NULL,NULL,0,NULL
Vsancha,Psicosis,5,0,-1,0,NULL,NULL,NULL,1
Victor Trujillo,Psicosis,5,0,NULL,1,NULL,NULL,NULL,NULL
Tito Chinchan,Matador,2,1,NULL,NULL,NULL,NULL,NULL,NULL
Jesus Lens,V de Vendetta,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jesus Lens,Plan oculto,4,0,NULL,NULL,NULL,NULL,NULL,NULL
Alvaro Oliva,La Plaga (Slither),3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Enrique Colmena,Misión imposible 3,2,-1,NULL,0,NULL,NULL,NULL,NULL
Pablo,El caso Slevin,3,NULL,NULL,0,-1,NULL,NULL,NULL
Pablo,Misión imposible 3,4,0,NULL,0,NULL,NULL,1,NULL
Pablo,Psicosis,5,-1,NULL,-1,NULL,NULL,0,NULL
Sr
Tito Chinchan,Xmen3,3,1,1,NULL,NULL,NULL,NULL,1
Marta,Hard candy,3,NULL,NULL,-1,NULL,NULL,0,NULL
Jose Luis,Misión imposible 3,2,NULL,NULL,-1,NULL,NULL,NULL,NULL
JPastor,Xmen3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pablo,Extraños en un tren,5,NULL,NULL,0,NULL,NULL,NULL,NULL
Leuzor,El código Da Vinci,2,NULL,NULL,NULL,NULL,NULL,0,NULL
Jose Contreras,El código Da Vinci,2,0,NULL,NULL,NULL,NULL,0,NULL
Victor Omar,El código Da Vinci,2,0,NULL,NULL,1,NULL,NULL,NULL
Javier Moreno,Hard candy,5,-1,0,NULL,NULL,NULL,NULL,NULL
Dover157,El código Da Vinci,3,NULL,NULL,NULL,NULL,NULL,NULL,0
Juan David,Matador,4,NULL,NULL,NULL,NULL,1,NULL,NULL
Kahzrrak,El código Da Vinci,3,NULL,NULL,NULL,NULL,0,-1,NULL
Raccord,Encadenados,5,NULL,NULL,0,1,1,NULL,0
Andrés,Flores rotas,4,-1,1,NULL,NULL,NULL,-1,0
Andrés,Plan oculto,3,0,NULL,NULL,NULL,NULL,NULL,NULL
Jeremy Fox,Xmen3,2,NULL,NULL,0,NULL,NULL,1,NULL
Jeremy Fox,La soga,5,1,NULL,0,0,NULL,1,NULL
Daniel Galindo,Un franco
Daniel Galindo,El color del crimen,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Daniel Galindo,Remake,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nisuyaves,Volver,4,NULL,0,0,NULL,NULL,NULL,NULL
Nisuyaves,El código Da Vinci,4,NULL,NULL,-1,NULL,0,0,1
Cp,Carretera al infierno,4,0,NULL,0,NULL,NULL,NULL,NULL
Raccord,Con la muerte en los talones,5,0,NULL,0,1,NULL,NULL,NULL
MrDaine,El código Da Vinci,2,0,NULL,-1,NULL,NULL,NULL,NULL
Jose Luis,El código Da Vinci,2,NULL,NULL,-1,NULL,NULL,0,NULL
Daniel Galindo,Camino a Guantánamo,4,-1,NULL,NULL,NULL,NULL,-1,NULL
Cp,Xmen3,1,0,1,1,NULL,NULL,0,NULL
Pablo,El código Da Vinci,2,0,NULL,NULL,NULL,NULL,NULL,NULL
Raccord,Xmen3,3,0,NULL,NULL,NULL,NULL,NULL,NULL
Jesus Lens,Camino a Guantánamo,4,0,NULL,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,Cuando un extraño llama,3,-1,0,NULL,0,NULL,NULL,NULL
Alvaro Oliva,Xmen3,3,NULL,NULL,NULL,NULL,NULL,1,1
Jose Contreras,Xmen3,3,0,NULL,NULL,NULL,NULL,NULL,NULL
Jesus Lens,Volver,5,1,-1,NULL,NULL,NULL,NULL,NULL
Jesus Lens,Himalaya,3,NULL,0,NULL,NULL,NULL,NULL,NULL
Daniel Galindo,Cuando un extraño llama,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Daniel Galindo,Thumbsucker,3,-1,NULL,NULL,NULL,NULL,NULL,NULL
Raccord,Misión imposible 3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pablo,Hard candy,4,1,0,NULL,NULL,NULL,0,NULL
Silvia,Mios
Alvaro Oliva,La profecía,3,0,NULL,-1,NULL,NULL,0,NULL
Raccord,Factotum,3,-1,NULL,NULL,NULL,NULL,1,NULL
Monich,La profecía,1,0,NULL,NULL,NULL,0,0,NULL
Darko,American Dreamz,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,El código Da Vinci,2,-1,NULL,-1,NULL,NULL,NULL,NULL
Noa,Los amantes del círculo polar,5,-1,NULL,NULL,NULL,NULL,NULL,-1
Rafa Ferrer,Vecinos invasores,4,-1,-1,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,Declaradme culpable,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,El asesinato de Richard Nixon,1,-1,0,NULL,NULL,1,0,NULL
Caty,Ultravioleta,1,1,NULL,NULL,NULL,NULL,NULL,NULL
Raccord,Marnie la ladrona,3,NULL,NULL,NULL,0,NULL,NULL,NULL
Jose Contreras,Scary movie 4,3,-1,NULL,-1,NULL,NULL,-1,NULL
Ivan Sainz-Pardo,El señor de la guerra,4,NULL,NULL,NULL,NULL,NULL,0,NULL
Alvaro Oliva,Vecinos invasores,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,Vecinos invasores,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jose Contreras,La sombra de una duda,2,NULL,1,-1,1,NULL,NULL,-1
JohnTrent,Cuando un extraño llama,2,-1,NULL,-1,NULL,NULL,NULL,NULL
Oscar Cantero,Asterix y los vikingos,3,1,NULL,1,NULL,NULL,NULL,NULL
Oscar Cantero,Scary movie 4,1,NULL,NULL,-1,NULL,NULL,-1,NULL
Silvia,La ardilla roja,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ibán Manzano,La tumba de las luciérnagas,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cp,El señor de la guerra,4,-1,NULL,0,0,0,0,NULL
Tito Chinchan,Superman returns,2,NULL,NULL,1,NULL,NULL,NULL,NULL
Jose Contreras,Las colinas tienen ojos,3,-1,-1,NULL,NULL,NULL,-1,NULL
Robgordon,La casa del lago,2,1,-1,NULL,NULL,NULL,1,0
JohnTrent,Las colinas tienen ojos,4,-1,0,NULL,NULL,NULL,1,0
Noa,Las colinas tienen ojos,3,0,NULL,NULL,NULL,NULL,NULL,1
Doris,Cars,4,NULL,1,NULL,NULL,NULL,NULL,NULL
Hombre Lobo,Las colinas tienen ojos,4,1,NULL,NULL,NULL,NULL,NULL,NULL
Carlos Pumares,Superman returns,1,1,NULL,NULL,NULL,NULL,NULL,NULL
Oscar Cantero,Delitos menores,2,0,NULL,NULL,NULL,NULL,NULL,NULL
Jeremy Fox,Cars,4,0,0,NULL,1,NULL,0,NULL
Rafa Ferrer,Cars,4,-1,0,NULL,NULL,NULL,NULL,NULL
Ibán Manzano,Las colinas tienen ojos,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bloody Will,Las colinas tienen ojos,4,-1,-1,-1,NULL,NULL,NULL,NULL
Alvaro Oliva,Las colinas tienen ojos,3,NULL,-1,-1,NULL,NULL,NULL,NULL
Alvaro Oliva,Scary movie 4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,Las colinas tienen ojos,3,0,NULL,NULL,NULL,NULL,NULL,NULL
Rafa Ferrer,El tigre y la nieve,2,NULL,NULL,NULL,NULL,NULL,NULL,-1
Tito Chinchan,Asterix y los vikingos,2,-1,NULL,1,NULL,NULL,NULL,NULL
Jose Contreras,Cars,5,1,NULL,NULL,NULL,NULL,NULL,NULL
Verolindapechocha,La casa del lago,2,NULL,-1,-1,0,NULL,NULL,NULL
Jeremy Fox,Superman returns,4,1,NULL,NULL,0,-1,NULL,NULL
Alejandro Salmerón,Superman returns,2,NULL,NULL,NULL,0,NULL,NULL,0
Tito Chinchan,Los managers,3,0,NULL,0,NULL,NULL,NULL,NULL
Rafa Ferrer,Superman returns,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rafa Ferrer,Ella es el chico,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jesus Lens,Factotum,2,0,NULL,NULL,NULL,NULL,NULL,NULL
Silvia,Tiempo de Valientes,3,1,NULL,-1,NULL,-1,-1,NULL
Jose Contreras,La casa del lago,3,NULL,-1,NULL,NULL,NULL,1,NULL
Oscar Cantero,El secreto de Anthony Zimmer,4,1,NULL,NULL,NULL,NULL,1,NULL
Oscar Cantero,A todo gas 3: Tokyo race,3,NULL,1,NULL,NULL,NULL,NULL,NULL
Daniel Galindo,Domino,2,-1,NULL,NULL,1,NULL,0,NULL
Daniel Galindo,Silent Hill,2,0,NULL,NULL,NULL,NULL,NULL,NULL
Rafa Ferrer,Silent Hill,3,-1,NULL,NULL,NULL,NULL,NULL,NULL
Rafa Ferrer,Click,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rafa Ferrer,La sombra de la sospecha,3,1,NULL,NULL,NULL,NULL,NULL,NULL
Caty,Las colinas tienen ojos,4,-1,NULL,NULL,NULL,NULL,-1,NULL
Bloody Will,Superman returns,4,0,-1,-1,NULL,NULL,NULL,0
Bloody Will,A todo gas 3: Tokyo race,2,1,NULL,NULL,NULL,NULL,NULL,1
Bloody Will,La sombra de la sospecha,3,1,NULL,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,Tiempo de Valientes,4,NULL,0,0,NULL,NULL,NULL,NULL
Jose Contreras,Ella es el chico,4,NULL,-1,NULL,NULL,NULL,NULL,NULL
Marta,El tigre y la nieve,3,0,NULL,NULL,NULL,NULL,NULL,NULL
Bloody Will,Poseidon,2,NULL,0,-1,NULL,NULL,NULL,NULL
Oscar Cantero,Poseidon,2,NULL,NULL,1,NULL,NULL,NULL,NULL
Tito Chinchan,A todo gas 3: Tokyo race,1,NULL,NULL,-1,NULL,NULL,NULL,NULL
Jesus Lens,El señor de la guerra,4,1,NULL,NULL,NULL,NULL,0,NULL
Calaf,Poseidon,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Calaf,Domino,2,1,NULL,NULL,0,NULL,-1,NULL
Calaf,Superman returns,4,-1,NULL,1,NULL,NULL,NULL,NULL
Calaf,Cars,4,NULL,0,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,Ultravioleta,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Oscar Cantero,Bandidas,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Calaf,Extraños en un tren,5,NULL,0,0,NULL,NULL,-1,NULL
Jesus Lens,Zona libre,2,1,NULL,NULL,1,NULL,1,NULL
Tito Chinchan,Monster house,4,0,-1,NULL,-1,NULL,NULL,NULL
Jesus Lens,Brokeback mountain,2,1,NULL,NULL,NULL,NULL,-1,NULL
Marta,Thumbsucker,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rafa Ferrer,Domino,2,-1,NULL,NULL,NULL,NULL,NULL,NULL
Rafa Ferrer,Poseidon,3,NULL,NULL,0,NULL,NULL,NULL,NULL
Ibán Manzano,Cars,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jose Contreras,La joven del agua,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Verolindapechocha,Cars,4,NULL,NULL,NULL,NULL,NULL,NULL,1
Emilio Calvo de Mora,Poseidon,2,0,NULL,NULL,NULL,NULL,NULL,1
Juan Manuel,Cariño
Silvia,En la tiniebla,2,NULL,-1,-1,NULL,NULL,-1,NULL
Alvaro Oliva,Poseidon,2,NULL,NULL,0,NULL,NULL,NULL,NULL
Tito Chinchan,Silent Hill,4,NULL,0,NULL,NULL,NULL,NULL,NULL
Jeremy Fox,Piratas del Caribe 2,3,NULL,NULL,NULL,NULL,0,1,0
Tito Chinchan,Cars,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antonio,Silent Hill,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Emilio Calvo de Mora,Silent Hill,2,1,-1,NULL,NULL,NULL,0,NULL
Rafa Ferrer,Bandidas,2,-1,NULL,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,Don erre que erre,4,1,NULL,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,Yo hice a Roque III,5,0,NULL,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,Cateto a babor,4,0,NULL,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,El erótico enmascarado,2,NULL,NULL,1,NULL,NULL,NULL,NULL
Tito Chinchan,Jenaro el de los 14,1,-1,0,NULL,NULL,0,NULL,NULL
Tito Chinchan,Los bingueros,5,-1,NULL,NULL,NULL,NULL,0,NULL
Tito Chinchan,Los liantes,3,NULL,NULL,0,NULL,NULL,NULL,NULL
Tito Chinchan,El liguero mágico,1,NULL,NULL,NULL,-1,-1,NULL,NULL
Torbe,Superman returns,2,0,0,-1,NULL,NULL,NULL,NULL
Emilio Calvo de Mora,Superman returns,2,-1,NULL,NULL,NULL,NULL,1,0
Alvaro Oliva,Aullidos,3,0,NULL,NULL,NULL,NULL,NULL,NULL
Alvaro Oliva,Silent Hill,1,-1,NULL,NULL,NULL,NULL,NULL,NULL
Yul B
Emilio Calvo de Mora,Una historia violenta,4,-1,NULL,NULL,1,NULL,0,1
Hombre Lobo,Superman returns,3,NULL,NULL,0,NULL,NULL,NULL,NULL
Tito Chinchan,El secreto de Anthony Zimmer,1,0,-1,NULL,NULL,NULL,NULL,NULL
Calaf,Piratas del Caribe 2,3,0,0,NULL,NULL,NULL,1,NULL
Rafa Ferrer,Piratas del Caribe 2,3,0,NULL,NULL,NULL,0,NULL,NULL
Jesus Lens,Piratas del Caribe 2,4,0,NULL,NULL,NULL,NULL,NULL,NULL
Rafa Ferrer,Cariño
Dragon negro,Stay alive,2,NULL,NULL,-1,NULL,NULL,NULL,NULL
Marta,Verano en Berlin,3,-1,0,NULL,NULL,NULL,0,NULL
Bloody Will,Super Nacho,1,0,NULL,NULL,NULL,NULL,-1,-1
Bloody Will,Maleficio,3,NULL,NULL,NULL,NULL,NULL,-1,0
Rafa Ferrer,Super Nacho,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jesus Lens,El próximo Oriente,5,0,NULL,NULL,NULL,NULL,NULL,NULL
Nisuyaves,Maleficio,1,1,NULL,0,NULL,NULL,NULL,NULL
Jeremy Fox,La joven del agua,4,0,NULL,1,1,NULL,NULL,0
Ivan Sainz-Pardo,United 93,5,NULL,0,NULL,NULL,NULL,0,0
Rafa Ferrer,La joven del agua,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bloody Will,La joven del agua,4,-1,NULL,1,NULL,NULL,0,NULL
Javier Moreno,United 93,5,0,NULL,NULL,NULL,NULL,NULL,NULL
Raccord,Vértigo,2,0,NULL,NULL,NULL,NULL,-1,NULL
Berto,La joven del agua,3,-1,1,NULL,-1,1,0,NULL
Daniel Galindo,La joven del agua,2,0,NULL,NULL,NULL,NULL,-1,NULL
