user_id,item_id,rating,efectos,comedia,genero,film,personajes,protagonista,mundo,escenas,espectador,epoca
Verolindapechocha,La casa del lago,2,,,,,,,,,-1.0,
Jeremy Fox,Superman returns,4,-1.0,,,,,,,,,
Alejandro Salmerón,Superman returns,2,-1.0,,,,,,,,,
Tito Chinchan,Los managers,3,,1.0,,,,,,,,-1.0
Rafa Ferrer,Superman returns,2,-1.0,,,,,,,,,
Rafa Ferrer,Ella es el chico,2,-1.0,-1.0,,,,,,,,
Jesus Lens,Factotum,2,,,,1.0,,,,,,
Silvia,Tiempo de Valientes,3,1.0,,,,,,,,-1.0,
Jose Contreras,La casa del lago,3,,,,,,,,,-1.0,
Oscar Cantero,El secreto de Anthony Zimmer,4,,,,,,0.0,,0.0,,
Oscar Cantero,A todo gas 3: Tokyo race,3,,,,-1.0,-1.0,,,,,
Daniel Galindo,Domino,2,,,,,,,,,,-1.0
Daniel Galindo,Silent Hill,2,,,,,,-1.0,,,,-1.0
Rafa Ferrer,Silent Hill,3,,,,,,-1.0,,,,-1.0
Rafa Ferrer,Click,3,,-1.0,,,,,,,,
Rafa Ferrer,La sombra de la sospecha,3,,,,,,,,,1.0,
Caty,Las colinas tienen ojos,4,,,-1.0,,,,,,,
Bloody Will,Superman returns,4,-1.0,,,,,,,,,
Bloody Will,A todo gas 3: Tokyo race,2,,,,-1.0,-1.0,,,,,
Bloody Will,La sombra de la sospecha,3,,,,,,,,,1.0,
Tito Chinchan,Tiempo de Valientes,4,1.0,,,,,,,,-1.0,
Jose Contreras,Ella es el chico,4,-1.0,-1.0,,,,,,,,
Marta,El tigre y la nieve,3,1.0,,,,,,,,1.0,
Bloody Will,Poseidon,2,1.0,,,,,,,,,
Oscar Cantero,Poseidon,2,1.0,,,,,,,,,
Tito Chinchan,A todo gas 3: Tokyo race,1,,,,-1.0,-1.0,,,,,
Jesus Lens,El señor de la guerra,4,,-1.0,,,,,,,-1.0,
Calaf,Poseidon,3,1.0,,,,,,,,,
Calaf,Domino,2,,,,,,,,,,-1.0
Calaf,Superman returns,4,-1.0,,,,,,,,,
Calaf,Cars,4,-1.0,,,-1.0,,,,,,
Tito Chinchan,Ultravioleta,1,,,,,,,,,,-1.0
Oscar Cantero,Bandidas,2,,,-1.0,,,,,,,
Calaf,Extraños en un tren,5,,,,,,1.0,,,,
Jesus Lens,Zona libre,2,,,,,0.0,,,,0.0,
Tito Chinchan,Monster house,4,1.0,,,,,,,-1.0,,
Jesus Lens,Brokeback mountain,2,,,,,,,,,-1.0,
Marta,Thumbsucker,2,,1.0,,,,,,,,
Rafa Ferrer,Domino,2,,,,,,,,,,-1.0
Rafa Ferrer,Poseidon,3,1.0,,,,,,,,,
Ibán Manzano,Cars,2,-1.0,,,-1.0,,,,,,
Jose Contreras,La joven del agua,3,,,,,,,1.0,,,
Verolindapechocha,Cars,4,-1.0,,,-1.0,,,,,,
Emilio Calvo de Mora,Poseidon,2,1.0,,,,,,,,,
"Juan Manuel,""Cariño, estoy hecho un perro"",3,1.0,,,1.0,,,,,1.0,"
Silvia,En la tiniebla,2,,,,,,-1.0,,,,
Alvaro Oliva,Poseidon,2,1.0,,,,,,,,,
Tito Chinchan,Silent Hill,4,,,,,,-1.0,,,,-1.0
Jeremy Fox,Piratas del Caribe 2,3,-1.0,,,,,,,,-1.0,
Tito Chinchan,Cars,3,-1.0,,,-1.0,,,,,,
Antonio,Silent Hill,4,,,,,,-1.0,,,,-1.0
Emilio Calvo de Mora,Silent Hill,2,,,,,,-1.0,,,,-1.0
Rafa Ferrer,Bandidas,2,,,-1.0,,,,,,,
Tito Chinchan,Don erre que erre,4,,0.0,,,,,,,,
Tito Chinchan,Yo hice a Roque III,5,-1.0,,,-1.0,-1.0,,,,,
Tito Chinchan,Cateto a babor,4,,,,,,,0.0,,,
Tito Chinchan,El erótico enmascarado,2,0.0,,,,,,,,,
Tito Chinchan,Jenaro el de los 14,1,,,,,,0.0,,,,
Tito Chinchan,Los bingueros,5,1.0,1.0,,,,,,,,
Tito Chinchan,Los liantes,3,,1.0,,,,,,,,
Tito Chinchan,El liguero mágico,1,0.0,,,,,,,,,-1.0
Torbe,Superman returns,2,-1.0,,,,,,,,,
Emilio Calvo de Mora,Superman returns,2,-1.0,,,,,,,,,
Alvaro Oliva,Aullidos,3,,,1.0,0.0,,,,,,
Alvaro Oliva,Silent Hill,1,,,,,,-1.0,,,,-1.0
Yul B.,Piratas del Caribe 2,4,-1.0,,,,,,,,-1.0,
Emilio Calvo de Mora,Una historia violenta,4,,,,,,,,,-1.0,-1.0
Hombre Lobo,Superman returns,3,-1.0,,,,,,,,,
Tito Chinchan,El secreto de Anthony Zimmer,1,,,,,,0.0,,0.0,,
Calaf,Piratas del Caribe 2,3,-1.0,,,,,,,,-1.0,
Rafa Ferrer,Piratas del Caribe 2,3,-1.0,,,,,,,,-1.0,
Jesus Lens,Piratas del Caribe 2,4,-1.0,,,,,,,,-1.0,
"Rafa Ferrer,""Cariño, estoy hecho un perro"",2,1.0,,,1.0,,,,,1.0,"
Dragon negro,Stay alive,2,,1.0,,,,,,,,
Marta,Verano en Berlin,3,,,,1.0,,,,,,
Bloody Will,Super Nacho,1,,,,,,,,,,-1.0
Bloody Will,Maleficio,3,-1.0,,,,,,,,-1.0,
Rafa Ferrer,Super Nacho,2,,,,,,,,,,-1.0
Jesus Lens,El próximo Oriente,5,,,,1.0,,,,,0.0,
Nisuyaves,Maleficio,1,-1.0,,,,,,,,-1.0,
Jeremy Fox,La joven del agua,4,,,,,,,1.0,,,
Ivan Sainz-Pardo,United 93,5,,,,-1.0,,,,,,
Rafa Ferrer,La joven del agua,3,,,,,,,1.0,,,
Bloody Will,La joven del agua,4,,,,,,,1.0,,,
Javier Moreno,United 93,5,,,,-1.0,,,,,,
Raccord,Vértigo,2,,,0.0,,,,,,-1.0,
Berto,La joven del agua,3,,,,,,,1.0,,,
Daniel Galindo,La joven del agua,2,,,,,,,1.0,,,
Emilio Calvo de Mora,United 93,4,,,,-1.0,,,,,,
Rafa Ferrer,Garfield 2,1,-1.0,,,,,,,,-1.0,
Rafa Ferrer,Pasado de vueltas,3,,1.0,,,1.0,,,,,
Tito Chinchan,Garfield 2,3,-1.0,,,,,,,,-1.0,
Berto,Piratas del Caribe 2,3,-1.0,,,,,,,,-1.0,
Tito Chinchan,Pepito piscinas,2,0.0,,,,,,,,,
Jesus Lens,La noche de los girasoles,5,,,,,,,,-1.0,,
Jose Contreras,United 93,5,,,,-1.0,,,,,,
Oscar Cantero,Piratas del Caribe 2,3,-1.0,,,,,,,,-1.0,
Raccord,Alatriste,2,-1.0,,,,,,,,,
Jesus Lens,Alatriste,3,-1.0,,,,,,,,,
Oscar Cantero,Alatriste,4,-1.0,,,,,,,,,
Robgordon,Alatriste,2,-1.0,,,,,,,,,
Vsancha,Alatriste,1,-1.0,,,,,,,,,
Rafa Marin,Alatriste,2,-1.0,,,,,,,,,
Illaq,Alatriste,2,-1.0,,,,,,,,,
Caty,Silent Hill,2,,,,,,-1.0,,,,-1.0
Red Stovall,Alatriste,1,-1.0,,,,,,,,,
El vengador toxico,Piratas del Caribe 2,3,-1.0,,,,,,,,-1.0,
Dragon negro,Monster house,4,1.0,,,,,,,-1.0,,
Emilio Calvo de Mora,La noche de los girasoles,4,,,,,,,,-1.0,,
Rafa Ferrer,United 93,5,,,,-1.0,,,,,,
Verolindapechocha,Monster house,2,1.0,,,,,,,-1.0,,
Marta,C.R.A.Z.Y.,3,,,,,,,,,-1.0,
Ivan Sainz-Pardo,Descongelate,3,1.0,1.0,,,,,,,1.0,
Taliesin,Alatriste,2,-1.0,,,,,,,,,
Raccord,Clerks 2,3,1.0,,,,,,,,0.0,
Alvaro Oliva,Piratas del Caribe 2,3,-1.0,,,,,,,,-1.0,
Alvaro Oliva,United 93,4,,,,-1.0,,,,,,
Emilio Calvo de Mora,Alatriste,2,-1.0,,,,,,,,,
Kiko de España,Monster house,5,1.0,,,,,,,-1.0,,
José Córdoba,Alatriste,1,-1.0,,,,,,,,,
José Córdoba,Monster house,5,1.0,,,,,,,-1.0,,
José Córdoba,La noche de los girasoles,2,,,,,,,,-1.0,,
Hartigan,Skizo,1,,,,,,,,,,-1.0
Beatriz Perez,Skizo,3,,,,,,,,,,-1.0
Oscar Cantero,Corrupción en Miami,2,,,,,,,,,-1.0,
Ibán Manzano,United 93,4,,,,-1.0,,,,,,
Ibán Manzano,La joven del agua,2,,,,,,,1.0,,,
Juan David,Brokeback mountain,5,,,,,,,,,-1.0,
Jeremy Fox,United 93,5,,,,-1.0,,,,,,
Red Stovall,Clerks 2,3,1.0,,,,,,,,0.0,
Yul B.,Corrupción en Miami,3,,,,,,,,,-1.0,
Lady Winter,Corrupción en Miami,2,,,,,,,,,-1.0,
Javier,Alatriste,2,-1.0,,,,,,,,,
José Córdoba,Superman returns,3,-1.0,,,,,,,,,
José Córdoba,Piratas del Caribe 2,3,-1.0,,,,,,,,-1.0,
José Córdoba,La joven del agua,3,,,,,,,1.0,,,
Alberto Concepción,Alatriste,2,-1.0,,,,,,,,,
Caty,La joven del agua,3,,,,,,,1.0,,,
Vsancha,La joven del agua,4,,,,,,,1.0,,,
Jesus Lens,Corrupción en Miami,3,,,,,,,,,-1.0,
Calaf,La joven del agua,3,,,,,,,1.0,,,
Ana,Clerks 2,3,1.0,,,,,,,,0.0,
Natalia Eseverri,Alatriste,3,-1.0,,,,,,,,,
Darthz,La joven del agua,4,,,,,,,1.0,,,
Kiko de España,Waiting,4,-1.0,,,-1.0,,,,-1.0,,
Kiko de España,Los calientabanquillos,4,,1.0,0.0,,,,,,1.0,
Kiko de España,La joven del agua,4,,,,,,,1.0,,,
Kiko de España,Clerks 2,4,1.0,,,,,,,,0.0,
Emilio Calvo de Mora,Corrupción en Miami,3,,,,,,,,,-1.0,
Kiko de España,Pasado de vueltas,4,,1.0,,,1.0,,,,,
Illaq,United 93,5,,,,-1.0,,,,,,
Enrique Colmena,United 93,3,,,,-1.0,,,,,,
Hartigan,Clerks 2,2,1.0,,,,,,,,0.0,
Yul B.,Monster house,2,1.0,,,,,,,-1.0,,
Iñigo,C.R.A.Z.Y.,4,,,,,,,,,-1.0,
Yojimbo,United 93,5,,,,-1.0,,,,,,
Nisuyaves,Clerks 2,4,1.0,,,,,,,,0.0,
Emilio Calvo de Mora,Desayuno en Plutón,2,,,,1.0,,0.0,,,1.0,
Jose Contreras,La noche de los girasoles,2,,,,,,,,-1.0,,
Jose Contreras,Super Nacho,1,,,,,,,,,,-1.0
Jose Contreras,Corrupción en Miami,3,,,,,,,,,-1.0,
Kiko de España,Una historia de Brooklyn,5,,,0.0,,,,,,1.0,
Kiko de España,Hard candy,4,,,,,,,,,-1.0,
Kiko de España,El hombre del tiempo,5,,,-1.0,-1.0,,-1.0,,,-1.0,
Kiko de España,Domino,2,,,,,,,,,,-1.0
Kiko de España,Manderlay,5,,,,,,,-1.0,,,
